,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participação por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
22,Boca do Acre,1.051,539.0,0,"0,96%","1.571,06",8,"1,48%","23,32",2020-06-13
23,Anori,772,525.0,0,"0,94%","2.498,81",9,"1,71%","42,84",2020-06-13
24,Tapauá (1),1.295,512.0,0,"0,91%","2.984,38",3,"0,59%","17,49",2020-06-13
25,Barreirinha,687,456.0,0,"0,81%","1.423,18",5,"1,10%","15,61",2020-06-13
26,Itapiranga,456,456.0,1,"0,81%","4.984,70",5,"1,10%","54,66",2020-06-13
27,Alvarães (1),710,427.0,0,"0,76%","2.661,93",10,"2,34%","62,34",2020-06-13
28,Beruri,465,374.0,1,"0,67%","1.900,50",5,"1,34%","25,41",2020-06-13
29,Carauari,1.211,369.0,1,"0,66%","1.304,16",4,"1,08%","14,14",2020-06-13
30,Fonte Boa,721,369.0,39,"0,66%","2.095,52",13,"3,52%","73,83",2020-06-13
31,Borba,830,356.0,12,"0,64%","864,90",16,"4,49%","38,87",2020-06-13
32,Tonantins (1),704,348.0,1,"0,62%","1.855,51",14,"4,02%","74,65",2020-06-13
33,Amaturá,363,347.0,0,"0,62%","3.007,98",8,"2,31%","69,35",2020-06-13
34,Uarini (1),346,346.0,0,"0,62%","2.555,39",2,"0,58%","14,77",2020-06-13
35,Novo Aripuanã,321,291.0,0,"0,52%","1.134,77",8,"2,75%","31,20",2020-06-13
36,Humaitá (1),967,278.0,0,"0,50%","504,72",3,"1,08%","5,45",2020-06-13
37,Urucará,589,263.0,3,"0,47%","1.617,86",4,"1,52%","24,61",2020-06-13
38,Atalaia do Norte,450,253.0,0,"0,45%","1.270,02",1,"0,40%","5,02",2020-06-13
39,Urucurituba,673,239.0,0,"0,43%","1.036,20",2,"0,84%","8,67",2020-06-13
40,Eirunepé,654,237.0,0,"0,42%","671,90",0,"0,00%","0,00",2020-06-13
41,Anamã,385,235.0,0,"0,42%","1.726,16",0,"0,00%","0,00",2020-06-13
42,Lábrea,261,199.0,3,"0,36%","431,96",2,"1,01%","4,34",2020-06-13
43,Novo Airão,502,190.0,0,"0,34%","976,66",5,"2,63%","25,70",2020-06-13
44,Nova Olinda do Norte,291,180.0,5,"0,32%","481,57",16,"8,89%","42,81",2020-06-13
45,Jutaí,374,170.0,7,"0,30%","1.187,40",12,"7,06%","83,82",2020-06-13
46,Japurá,368,169.0,62,"0,30%","6.134,30",0,"0,00%","0,00",2020-06-13
47,Manaquiri,305,169.0,1,"0,30%","526,40",7,"4,14%","21,80",2020-06-13
48,São Sebastião do Uatumã,302,161.0,0,"0,29%","1.148,36",1,"0,62%","7,13",2020-06-13
49,Maraã,455,158.0,23,"0,28%","866,99",2,"1,27%","10,97",2020-06-13
50,Silves,293,142.0,3,"0,25%","1.548,36",4,"2,82%","43,62",2020-06-13
51,Boa Vista do Ramos,275,135.0,3,"0,24%","702,87",2,"1,48%","10,41",2020-06-13
52,Caapiranga,271,129.0,0,"0,23%","986,16",2,"1,55%","15,29",2020-06-13
53,Guajará,139,126.0,0,"0,22%","755,49",1,"0,79%","6,00",2020-06-13
54,Nhamundá,170,110.0,1,"0,20%","519,53",2,"1,82%","9,45",2020-06-13
55,Pauini (1),109,109.0,0,"0,19%","561,10",0,"0,00%","0,00",2020-06-13
56,Codajás,164,102.0,1,"0,18%","356,18",2,"1,96%","6,98",2020-06-13
57,Manicoré,668,97.0,32,"0,17%","173,99",2,"2,06%","3,59",2020-06-13
58,Juruá,435,94.0,0,"0,17%","638,93",0,"0,00%","0,00",2020-06-13
59,Itamarati (1),262,78.0,0,"0,14%","993,50",1,"1,28%","12,74",2020-06-13
60,Santa Isabel do Rio Negro,128,72.0,0,"0,13%","286,21",1,"1,39%","3,98",2020-06-13
61,Careiro da Várzea,151,56.0,0,"0,10%","185,28",4,"7,14%","13,23",2020-06-13
62,Canutama,139,48.0,0,"0,09%","307,12",0,"0,00%","0,00",2020-06-13
63,Apuí,159,27.0,1,"0,05%","122,88",0,"0,00%","0,00",2020-06-13
64,Envira (2),11,0.0,0,"0,00%","0,00",0,"0,00%","0,00",2020-06-13
65,Ipixuna (2),18,0.0,0,"0,00%","0,00",0,"0,00%","0,00",2020-06-13
