,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia,Obitos,Letalidade,Mortalidade,Data
701,Parintins,4.87,2273,2.0,3.58%,1989.1,69.0,3.04%,60.38,2020-06-21 00:00:00
702,Benjamin Constant,2397,1414,1.0,2.23%,3289.6,27.0,1.91%,62.81,2020-06-21 00:00:00
703,Itacoatiara,2.6719999999999997,1325,0.0,2.09%,1307.52,52.0,3.92%,51.31,2020-06-21 00:00:00
704,Tabatinga,2.27,1254,2.0,1.98%,1904.5,70.0,5.58%,106.31,2020-06-21 00:00:00
705,Iranduba,2938,1203,5.0,1.90%,2490.89,35.0,2.91%,72.47,2020-06-21 00:00:00
706,Santo Antônio do Içá (1),1.4509999999999998,970.0,2.0,1.53%,4490.32,18.0,1.86%,83.33,2020-06-21 00:00:00
707,Careiro (1),1517,887.0,0.0,1.40%,2342.29,13.0,1.47%,34.33,2020-06-21 00:00:00
708,Autazes,1486,868.0,1.0,1.37%,2193.86,27.0,3.11%,68.24,2020-06-21 00:00:00
709,Maués,1806,846.0,15.0,1.33%,1323.84,30.0,3.55%,46.94,2020-06-21 00:00:00
710,Barcelos,1682,807.0,0.0,1.27%,2934.33,20.0,2.48%,72.72,2020-06-21 00:00:00
711,Presidente Figueiredo,2.4619999999999997,858.0,1.0,1.35%,2365,20.0,2.33%,55.13,2020-06-21 00:00:00
712,Rio Preto da Eva,2401,625.0,6.0,0.99%,1874.23,12.0,1.92%,35.99,2020-06-21 00:00:00
713,São Paulo de Olivença (1),1038,596.0,4.0,0.94%,1516.58,16.0,2.68%,40.71,2020-06-21 00:00:00
714,Boca do Acre,1185,583.0,0.0,0.92%,1699.31,9.0,1.54%,26.23,2020-06-21 00:00:00
715,Anori,824.0,566.0,0.0,0.89%,2693.96,9.0,1.59%,42.84,2020-06-21 00:00:00
716,Tapauá (1),1295,512.0,0.0,0.81%,2984.38,3.0,0.59%,17.49,2020-06-21 00:00:00
717,Alvarães (1),829.0,505.0,4.0,0.80%,3148.18,12.0,2.38%,74.81,2020-06-21 00:00:00
718,Barreirinha,791.0,526.0,0.0,0.83%,1641.65,6.0,1.14%,18.73,2020-06-21 00:00:00
719,Itapiranga (1),483.0,483.0,1.0,0.76%,5279.84,5.0,1.04%,54.66,2020-06-21 00:00:00
720,Carauari (1),1.4180000000000001,444.0,1.0,0.70%,1569.24,6.0,1.35%,21.21,2020-06-21 00:00:00
721,Fonte Boa,957.0,472.0,39.0,0.74%,2680.45,16.0,3.39%,90.86,2020-06-21 00:00:00
722,Uarini,429.0,429.0,0.0,0.68%,3168.39,6.0,1.40%,44.31,2020-06-21 00:00:00
723,Humaitá,1278,466.0,0.0,0.73%,846.04,5.0,1.07%,9.08,2020-06-21 00:00:00
724,Borba,924.0,395.0,12.0,0.62%,959.65,16.0,4.05%,38.87,2020-06-21 00:00:00
725,Tonantins (1),768.0,382.0,1.0,0.60%,2036.79,14.0,3.66%,74.65,2020-06-21 00:00:00
726,Beruri,465.0,374.0,1.0,0.59%,1900.5,6.0,1.60%,30.49,2020-06-21 00:00:00
727,Novo Aripuanã (1),422.0,368.0,0.0,0.58%,1435.03,8.0,2.17%,31.2,2020-06-21 00:00:00
728,Amaturá,378.0,363.0,0.0,0.57%,3146.67,8.0,2.20%,69.35,2020-06-21 00:00:00
729,Nova Olinda do Norte,520.0,367.0,5.0,0.58%,981.86,19.0,5.18%,50.83,2020-06-21 00:00:00
730,Atalaia do Norte (1),470.0,393.0,0.0,0.62%,1972.79,1.0,0.25%,5.02,2020-06-21 00:00:00
731,Urucará,749.0,347.0,7.0,0.55%,2134.6,4.0,1.15%,24.61,2020-06-21 00:00:00
732,Urucurituba,898.0,339.0,0.0,0.53%,1469.76,2.0,0.59%,8.67,2020-06-21 00:00:00
733,Lábrea,434.0,345.0,3.0,0.54%,748.88,3.0,0.87%,6.51,2020-06-21 00:00:00
734,Eirunepé,1067,347.0,0.0,0.55%,983.76,0.0,0.00%,0,2020-06-21 00:00:00
735,Anamã,460.0,262.0,0.0,0.41%,1924.49,0.0,0.00%,0,2020-06-21 00:00:00
736,Jutaí,506.0,240.0,7.0,0.38%,1676.33,13.0,5.42%,90.8,2020-06-21 00:00:00
737,Pauini (1),216.0,216.0,0.0,0.34%,1111.91,1.0,0.46%,5.15,2020-06-21 00:00:00
738,Novo Airão,556.0,207.0,0.0,0.33%,1064.05,5.0,2.42%,25.7,2020-06-21 00:00:00
739,Itamarati (1),484.0,223.0,0.0,0.35%,2840.4,1.0,0.45%,12.74,2020-06-21 00:00:00
740,Guajará,292.0,259.0,0.0,0.41%,1552.94,1.0,0.39%,6,2020-06-21 00:00:00
741,Manaquiri,340.0,203.0,1.0,0.32%,632.3,9.0,4.43%,28.03,2020-06-21 00:00:00
742,Japurá,440.0,219.0,63.0,0.35%,7949.18,0.0,0.00%,0,2020-06-21 00:00:00
743,Maraã (1),506.0,190.0,23.0,0.30%,1042.58,2.0,1.05%,10.97,2020-06-21 00:00:00
744,São Sebastião do Uatumã,348.0,178.0,1.0,0.28%,1269.61,1.0,0.56%,7.13,2020-06-21 00:00:00
745,Juruá,536.0,186.0,0.0,0.29%,1264.27,1.0,0.54%,6.8,2020-06-21 00:00:00
746,Silves,320.0,151.0,3.0,0.24%,1646.49,4.0,2.65%,43.62,2020-06-21 00:00:00
747,Boa Vista do Ramos,331.0,149.0,3.0,0.23%,775.76,2.0,1.34%,10.41,2020-06-21 00:00:00
748,Caapiranga,308.0,136.0,0.0,0.21%,1039.68,4.0,2.94%,30.58,2020-06-21 00:00:00
749,Nhamundá,206.0,131.0,1.0,0.21%,618.71,4.0,3.05%,18.89,2020-06-21 00:00:00
750,Manicoré,1047,145.0,32.0,0.23%,260.09,4.0,2.76%,7.17,2020-06-21 00:00:00
751,Codajás,180.0,113.0,1.0,0.18%,394.59,3.0,2.65%,10.48,2020-06-21 00:00:00
752,Santa Isabel do Rio Negro,335.0,135.0,0.0,0.21%,536.65,2.0,1.48%,7.95,2020-06-21 00:00:00
753,Careiro da Várzea,171.0,64.0,0.0,0.10%,211.75,4.0,6.25%,13.23,2020-06-21 00:00:00
754,Canutama,164.0,65.0,0.0,0.10%,415.89,0.0,0.00%,0,2020-06-21 00:00:00
755,Apuí,189.0,30.0,1.0,0.05%,136.53,0.0,0.00%,0,2020-06-21 00:00:00
756,Envira (2),11.0,0.0,0.0,0.00%,0,0.0,0.00%,0,2020-06-21 00:00:00
757,Ipixuna (2),35.0,0.0,0.0,0.00%,0,0.0,0.00%,0,2020-06-21 00:00:00
758,Manaus,67803,24978,143.0,39.71%,1144.33,1706,6.83%,78.16,2020-06-20 00:00:00
759,INTERIOR,71206,37924,399.0,60.29%,1933.09,944.0,2.49%,48.12,2020-06-20 00:00:00
760,Coari,6315,3.23,0.0,5.13%,3795.67,77.0,2.38%,90.48,2020-06-20 00:00:00
761,Manacapuru,7263,3073,13.0,4.89%,3155.78,122.0,3.97%,125.29,2020-06-20 00:00:00
762,Tefé,3006,2.9589999999999996,85.0,4.70%,4944.11,76.0,2.57%,126.99,2020-06-20 00:00:00
763,São Gabriel da Cachoeira,3.39,2.5469999999999997,52.0,4.05%,5589.94,43.0,1.69%,94.37,2020-06-20 00:00:00
764,Parintins,4.68,2245,2.0,3.57%,1964.59,69.0,3.07%,60.38,2020-06-20 00:00:00
765,Benjamin Constant,2341,1.41,1.0,2.24%,3280.29,27.0,1.91%,62.81,2020-06-20 00:00:00
766,Itacoatiara,2426,1.31,0.0,2.08%,1292.72,52.0,3.97%,51.31,2020-06-20 00:00:00
767,Tabatinga,2258,1251,2.0,1.99%,1899.95,70.0,5.60%,106.31,2020-06-20 00:00:00
768,Iranduba,2.9130000000000003,1202,5.0,1.91%,2488.82,35.0,2.91%,72.47,2020-06-20 00:00:00
769,Santo Antônio do Içá,1.4509999999999998,970.0,2.0,1.54%,4490.32,18.0,1.86%,83.33,2020-06-20 00:00:00
770,Careiro,1517,887.0,0.0,1.41%,2342.29,13.0,1.47%,34.33,2020-06-20 00:00:00
771,Autazes,1.45,863.0,1.0,1.37%,2181.22,27.0,3.13%,68.24,2020-06-20 00:00:00
772,Maués,1758,844.0,15.0,1.34%,1320.71,29.0,3.44%,45.38,2020-06-20 00:00:00
773,Barcelos,1.6230000000000002,799.0,0.0,1.27%,2905.24,20.0,2.50%,72.72,2020-06-20 00:00:00
774,Presidente Figueiredo,2221,820.0,1.0,1.30%,2260.26,20.0,2.44%,55.13,2020-06-20 00:00:00
775,Rio Preto da Eva,2391,624.0,6.0,0.99%,1871.23,12.0,1.92%,35.99,2020-06-20 00:00:00
776,São Paulo de Olivença,1038,596.0,4.0,0.95%,1516.58,16.0,2.68%,40.71,2020-06-20 00:00:00
777,Boca do Acre,1156,578.0,0.0,0.92%,1684.74,9.0,1.56%,26.23,2020-06-20 00:00:00
778,Anori,824.0,566.0,0.0,0.90%,2693.96,9.0,1.59%,42.84,2020-06-20 00:00:00
779,Tapauá (1),1295,512.0,0.0,0.81%,2984.38,3.0,0.59%,17.49,2020-06-20 00:00:00
780,Alvarães (1),829.0,505.0,4.0,0.80%,3148.18,12.0,2.38%,74.81,2020-06-20 00:00:00
781,Barreirinha,777.0,516.0,0.0,0.82%,1610.44,6.0,1.16%,18.73,2020-06-20 00:00:00
782,Itapiranga,483.0,483.0,1.0,0.77%,5279.84,5.0,1.04%,54.66,2020-06-20 00:00:00
783,Carauari,1418,444.0,1.0,0.71%,1569.24,6.0,1.35%,21.21,2020-06-20 00:00:00
784,Fonte Boa,746.0,446.0,39.0,0.71%,2532.8,16.0,3.59%,90.86,2020-06-20 00:00:00
785,Uarini (1),421.0,421.0,0.0,0.67%,3109.31,6.0,1.43%,44.31,2020-06-20 00:00:00
786,Humaitá,1207,445.0,0.0,0.71%,807.92,5.0,1.12%,9.08,2020-06-20 00:00:00
787,Borba,904.0,392.0,12.0,0.62%,952.36,16.0,4.08%,38.87,2020-06-20 00:00:00
788,Tonantins (1),768.0,382.0,1.0,0.61%,2036.79,14.0,3.66%,74.65,2020-06-20 00:00:00
789,Beruri,465.0,374.0,1.0,0.59%,1900.5,6.0,1.60%,30.49,2020-06-20 00:00:00
790,Novo Aripuanã (1),422.0,368.0,0.0,0.59%,1435.03,8.0,2.17%,31.2,2020-06-20 00:00:00
791,Amaturá,378.0,362.0,0.0,0.58%,3138,8.0,2.21%,69.35,2020-06-20 00:00:00
792,Nova Olinda do Norte,509.0,365.0,5.0,0.58%,976.51,19.0,5.21%,50.83,2020-06-20 00:00:00
793,Atalaia do Norte,470.0,393.0,0.0,0.62%,1972.79,1.0,0.25%,5.02,2020-06-20 00:00:00
794,Urucará,712.0,342.0,7.0,0.54%,2103.84,4.0,1.17%,24.61,2020-06-20 00:00:00
795,Urucurituba,792.0,330.0,0.0,0.52%,1430.74,2.0,0.61%,8.67,2020-06-20 00:00:00
796,Lábrea,429.0,342.0,3.0,0.54%,742.36,3.0,0.88%,6.51,2020-06-20 00:00:00
797,Eirunepé,760.0,337.0,0.0,0.54%,955.4,0.0,0.00%,0,2020-06-20 00:00:00
798,Anamã,441.0,261.0,0.0,0.41%,1917.14,0.0,0.00%,0,2020-06-20 00:00:00
799,Jutaí,494.0,238.0,7.0,0.38%,1662.36,13.0,5.46%,90.8,2020-06-20 00:00:00
800,Pauini (1),216.0,216.0,0.0,0.34%,1111.91,1.0,0.46%,5.15,2020-06-20 00:00:00
801,Novo Airão,548.0,207.0,0.0,0.33%,1064.05,5.0,2.42%,25.7,2020-06-20 00:00:00
802,Itamarati,484.0,223.0,0.0,0.35%,2840.4,1.0,0.45%,12.74,2020-06-20 00:00:00
803,Guajará,276.0,259.0,0.0,0.41%,1552.94,1.0,0.39%,6,2020-06-20 00:00:00
804,Manaquiri,335.0,203.0,1.0,0.32%,632.3,9.0,4.43%,28.03,2020-06-20 00:00:00
805,Japurá,406.0,212.0,63.0,0.34%,7695.1,0.0,0.00%,0,2020-06-20 00:00:00
806,Maraã,506.0,190.0,23.0,0.30%,1042.58,2.0,1.05%,10.97,2020-06-20 00:00:00
807,São Sebastião do Uatumã,322.0,178.0,1.0,0.28%,1269.61,1.0,0.56%,7.13,2020-06-20 00:00:00
808,Juruá (1),492.0,154.0,0.0,0.24%,1046.76,0.0,0.00%,0,2020-06-20 00:00:00
809,Silves,316.0,150.0,3.0,0.24%,1635.59,4.0,2.67%,43.62,2020-06-20 00:00:00
810,Boa Vista do Ramos,325.0,149.0,3.0,0.24%,775.76,2.0,1.34%,10.41,2020-06-20 00:00:00
811,Caapiranga,299.0,135.0,0.0,0.21%,1032.03,4.0,2.96%,30.58,2020-06-20 00:00:00
812,Nhamundá,200.0,129.0,1.0,0.21%,609.27,4.0,3.10%,18.89,2020-06-20 00:00:00
813,Manicoré (1),774.0,113.0,32.0,0.18%,202.69,4.0,3.54%,7.17,2020-06-20 00:00:00
814,Codajás,174.0,113.0,1.0,0.18%,394.59,3.0,2.65%,10.48,2020-06-20 00:00:00
815,Santa Isabel do Rio Negro (1),240.0,106.0,0.0,0.17%,421.37,2.0,1.89%,7.95,2020-06-20 00:00:00
816,Careiro da Várzea,163.0,63.0,0.0,0.10%,208.44,4.0,6.35%,13.23,2020-06-20 00:00:00
817,Canutama,159.0,65.0,0.0,0.10%,415.89,0.0,0.00%,0,2020-06-20 00:00:00
818,Apuí,184.0,27.0,1.0,0.04%,122.88,0.0,0.00%,0,2020-06-20 00:00:00
819,Envira (2),11.0,0.0,0.0,0.00%,0,0.0,0.00%,0,2020-06-20 00:00:00
820,Ipixuna (2),35.0,0.0,0.0,0.00%,0,0.0,0.00%,0,2020-06-20 00:00:00
821,Manaus,66541,24581,143.0,39.85%,1126.14,1685,6.85%,77.2,2020-06-19 00:00:00
822,INTERIOR,71072,37102,399.0,60.15%,1891.19,939.0,2.53%,47.86,2020-06-19 00:00:00
823,Coari,6315,3143,0.0,5.10%,3693.43,77.0,2.45%,90.48,2020-06-19 00:00:00
824,Manacapuru,7263,3045,13.0,4.94%,3127.02,121.0,3.97%,124.26,2020-06-19 00:00:00
825,Tefé,3.0060000000000002,2959,85.0,4.80%,4944.11,76.0,2.57%,126.99,2020-06-19 00:00:00
826,São Gabriel da Cachoeira,3.39,2.5380000000000003,52.0,4.11%,5570.19,43.0,1.69%,94.37,2020-06-19 00:00:00
827,Parintins,4.68,2201,2.0,3.57%,1926.09,68.0,3.09%,59.51,2020-06-19 00:00:00
828,Benjamin Constant,2.3409999999999997,1391,1.0,2.26%,3236.09,27.0,1.94%,62.81,2020-06-19 00:00:00
829,Itacoatiara,2426,1258,0.0,2.04%,1241.4,50.0,3.97%,49.34,2020-06-19 00:00:00
830,Tabatinga,2258,1242,2.0,2.01%,1886.28,70.0,5.64%,106.31,2020-06-19 00:00:00
831,Iranduba,2.9130000000000003,1192,5.0,1.93%,2468.11,35.0,2.94%,72.47,2020-06-19 00:00:00
832,Santo Antônio do Içá,1.4509999999999998,961.0,2.0,1.56%,4448.66,18.0,1.87%,83.33,2020-06-19 00:00:00
833,Careiro,1517,865.0,0.0,1.40%,2284.19,13.0,1.50%,34.33,2020-06-19 00:00:00
834,Autazes,1.45,852.0,1.0,1.38%,2153.42,27.0,3.17%,68.24,2020-06-19 00:00:00
835,Maués,1758,831.0,15.0,1.35%,1300.37,29.0,3.49%,45.38,2020-06-19 00:00:00
836,Barcelos,1.6230000000000002,790.0,0.0,1.28%,2872.52,20.0,2.53%,72.72,2020-06-19 00:00:00
837,Presidente Figueiredo,2221,787.0,1.0,1.28%,2169.3,20.0,2.54%,55.13,2020-06-19 00:00:00
838,Rio Preto da Eva,2381,621.0,6.0,1.01%,1862.24,12.0,1.93%,35.99,2020-06-19 00:00:00
839,São Paulo de Olivença,1038,593.0,4.0,0.96%,1508.94,16.0,2.70%,40.71,2020-06-19 00:00:00
840,Boca do Acre,1156,571.0,0.0,0.93%,1664.33,9.0,1.58%,26.23,2020-06-19 00:00:00
841,Anori,824.0,566.0,0.0,0.92%,2693.96,9.0,1.59%,42.84,2020-06-19 00:00:00
842,Tapauá,1295,512.0,0.0,0.83%,2984.38,3.0,0.59%,17.49,2020-06-19 00:00:00
843,Alvarães,829.0,505.0,4.0,0.82%,3148.18,12.0,2.38%,74.81,2020-06-19 00:00:00
844,Barreirinha,777.0,492.0,0.0,0.80%,1535.53,6.0,1.22%,18.73,2020-06-19 00:00:00
845,Itapiranga,475.0,475.0,1.0,0.77%,5192.39,5.0,1.05%,54.66,2020-06-19 00:00:00
846,Carauari,1.4180000000000001,433.0,1.0,0.70%,1530.36,6.0,1.39%,21.21,2020-06-19 00:00:00
847,Fonte Boa,741.0,422.0,39.0,0.68%,2396.5,16.0,3.79%,90.86,2020-06-19 00:00:00
848,Uarini,421.0,421.0,0.0,0.68%,3109.31,6.0,1.43%,44.31,2020-06-19 00:00:00
849,Humaitá,1207,418.0,0.0,0.68%,758.9,4.0,0.96%,7.26,2020-06-19 00:00:00
850,Borba,904.0,385.0,12.0,0.62%,935.35,16.0,4.16%,38.87,2020-06-19 00:00:00
851,Tonantins,768.0,382.0,1.0,0.62%,2036.79,14.0,3.66%,74.65,2020-06-19 00:00:00
852,Beruri,465.0,374.0,1.0,0.61%,1900.5,6.0,1.60%,30.49,2020-06-19 00:00:00
853,Novo Aripuanã,422.0,368.0,0.0,0.60%,1435.03,8.0,2.17%,31.2,2020-06-19 00:00:00
854,Amaturá,378.0,361.0,0.0,0.59%,3129.33,8.0,2.22%,69.35,2020-06-19 00:00:00
855,Nova Olinda do Norte,509.0,339.0,5.0,0.55%,906.95,19.0,5.60%,50.83,2020-06-19 00:00:00
856,Atalaia do Norte,470.0,335.0,0.0,0.54%,1681.64,1.0,0.30%,5.02,2020-06-19 00:00:00
857,Urucará,712.0,325.0,7.0,0.53%,1999.26,4.0,1.23%,24.61,2020-06-19 00:00:00
858,Urucurituba,792.0,319.0,0.0,0.52%,1383.05,2.0,0.63%,8.67,2020-06-19 00:00:00
859,Lábrea,429.0,314.0,3.0,0.51%,681.59,3.0,0.96%,6.51,2020-06-19 00:00:00
860,Eirunepé,760.0,286.0,0.0,0.46%,810.82,0.0,0.00%,0,2020-06-19 00:00:00
861,Anamã,441.0,254.0,0.0,0.41%,1865.73,0.0,0.00%,0,2020-06-19 00:00:00
862,Jutaí,494.0,232.0,7.0,0.38%,1620.45,13.0,5.60%,90.8,2020-06-19 00:00:00
863,Pauini,216.0,216.0,0.0,0.35%,1111.91,1.0,0.46%,5.15,2020-06-19 00:00:00
864,Novo Airão,548.0,205.0,0.0,0.33%,1053.77,5.0,2.44%,25.7,2020-06-19 00:00:00
865,Itamarati,484.0,202.0,0.0,0.33%,2572.92,1.0,0.50%,12.74,2020-06-19 00:00:00
866,Guajará,202.0,200.0,0.0,0.32%,1199.18,1.0,0.50%,6,2020-06-19 00:00:00
867,Manaquiri,330.0,199.0,1.0,0.32%,619.84,9.0,4.52%,28.03,2020-06-19 00:00:00
868,Japurá,406.0,190.0,63.0,0.31%,6896.55,0.0,0.00%,0,2020-06-19 00:00:00
869,Maraã,506.0,189.0,23.0,0.31%,1037.09,2.0,1.06%,10.97,2020-06-19 00:00:00
870,São Sebastião do Uatumã,322.0,175.0,1.0,0.28%,1248.22,1.0,0.57%,7.13,2020-06-19 00:00:00
871,Juruá,492.0,154.0,0.0,0.25%,1046.76,0.0,0.00%,0,2020-06-19 00:00:00
872,Silves,316.0,147.0,3.0,0.24%,1602.88,4.0,2.72%,43.62,2020-06-19 00:00:00
873,Boa Vista do Ramos,325.0,146.0,3.0,0.24%,760.14,2.0,1.37%,10.41,2020-06-19 00:00:00
874,Caapiranga,299.0,135.0,0.0,0.22%,1032.03,4.0,2.96%,30.58,2020-06-19 00:00:00
875,Nhamundá,195.0,121.0,1.0,0.20%,571.48,4.0,3.31%,18.89,2020-06-19 00:00:00
876,Manicoré,774.0,113.0,32.0,0.18%,202.69,4.0,3.54%,7.17,2020-06-19 00:00:00
877,Codajás,174.0,109.0,1.0,0.18%,380.63,3.0,2.75%,10.48,2020-06-19 00:00:00
878,Santa Isabel do Rio Negro,240.0,106.0,0.0,0.17%,421.37,2.0,1.89%,7.95,2020-06-19 00:00:00
879,Careiro da Várzea,163.0,62.0,0.0,0.10%,205.13,4.0,6.45%,13.23,2020-06-19 00:00:00
880,Canutama,154.0,48.0,0.0,0.08%,307.12,0.0,0.00%,0,2020-06-19 00:00:00
881,Apuí,179.0,27.0,1.0,0.04%,122.88,0.0,0.00%,0,2020-06-19 00:00:00
882,Envira (2),11.0,0.0,0.0,0.00%,0,0.0,0.00%,0,2020-06-19 00:00:00
883,Ipixuna (2),18.0,0.0,0.0,0.00%,0,0.0,0.00%,0,2020-06-19 00:00:00
884,Manaus,64847,24154,143.0,39.77%,1106.58,1678,6.95%,76.88,2020-06-18 00:00:00
885,INTERIOR,69612,36582,399.0,60.23%,1864.68,927.0,2.53%,47.25,2020-06-18 00:00:00
886,Coari,6112,3114,0.0,5.13%,3659.35,77.0,2.47%,90.48,2020-06-18 00:00:00
887,Manacapuru,7096,3012,13.0,4.96%,3093.13,121.0,4.02%,124.26,2020-06-18 00:00:00
888,Tefé,2959,2.9589999999999996,85.0,4.87%,4944.11,76.0,2.57%,126.99,2020-06-18 00:00:00
889,São Gabriel da Cachoeira,3375,2497,52.0,4.11%,5480.2,36.0,1.44%,79.01,2020-06-18 00:00:00
890,Parintins,4544,2154,2.0,3.55%,1884.96,68.0,3.16%,59.51,2020-06-18 00:00:00
891,Benjamin Constant,2298,1371,1.0,2.26%,3189.56,27.0,1.97%,62.81,2020-06-18 00:00:00
892,Itacoatiara,2426,1258,0.0,2.07%,1241.4,50.0,3.97%,49.34,2020-06-18 00:00:00
893,Tabatinga,2249,1225,2.0,2.02%,1860.46,70.0,5.71%,106.31,2020-06-18 00:00:00
894,Iranduba,2847,1.1909999999999998,5.0,1.96%,2466.04,35.0,2.94%,72.47,2020-06-18 00:00:00
895,Santo Antônio do Içá,1.4409999999999998,960.0,2.0,1.58%,4444.03,18.0,1.88%,83.33,2020-06-18 00:00:00
896,Careiro,1517,865.0,0.0,1.42%,2284.19,13.0,1.50%,34.33,2020-06-18 00:00:00
897,Autazes,1.43,846.0,1.0,1.39%,2138.25,27.0,3.19%,68.24,2020-06-18 00:00:00
898,Maués,1731,825.0,15.0,1.36%,1290.98,29.0,3.52%,45.38,2020-06-18 00:00:00
899,Barcelos,1597,783.0,0.0,1.29%,2847.07,20.0,2.55%,72.72,2020-06-18 00:00:00
900,Presidente Figueiredo,2152,767.0,1.0,1.26%,2114.17,20.0,2.61%,55.13,2020-06-18 00:00:00
901,Rio Preto da Eva,2371,611.0,6.0,1.01%,1832.25,11.0,1.80%,32.99,2020-06-18 00:00:00
902,São Paulo de Olivença,1027,586.0,4.0,0.96%,1491.13,15.0,2.56%,38.17,2020-06-18 00:00:00
903,Anori,824.0,566.0,0.0,0.93%,2693.96,9.0,1.59%,42.84,2020-06-18 00:00:00
904,Boca do Acre,1129,563.0,0.0,0.93%,1641.02,9.0,1.60%,26.23,2020-06-18 00:00:00
905,Tapauá,1295,512.0,0.0,0.84%,2984.38,3.0,0.59%,17.49,2020-06-18 00:00:00
906,Barreirinha,751.0,487.0,0.0,0.80%,1519.93,6.0,1.23%,18.73,2020-06-18 00:00:00
907,Alvarães,710.0,477.0,4.0,0.79%,2973.63,11.0,2.31%,68.57,2020-06-18 00:00:00
908,Itapiranga,472.0,472.0,1.0,0.78%,5159.6,5.0,1.06%,54.66,2020-06-18 00:00:00
909,Carauari,1368,428.0,1.0,0.70%,1512.69,6.0,1.40%,21.21,2020-06-18 00:00:00
910,Uarini,408.0,408.0,0.0,0.67%,3013.29,5.0,1.23%,36.93,2020-06-18 00:00:00
911,Fonte Boa,736.0,405.0,39.0,0.67%,2299.96,16.0,3.95%,90.86,2020-06-18 00:00:00
912,Humaitá,1197,401.0,0.0,0.66%,728.03,4.0,1.00%,7.26,2020-06-18 00:00:00
913,Tonantins,768.0,382.0,1.0,0.63%,2036.79,14.0,3.66%,74.65,2020-06-18 00:00:00
914,Borba,888.0,380.0,12.0,0.63%,923.2,16.0,4.21%,38.87,2020-06-18 00:00:00
915,Beruri,465.0,374.0,1.0,0.62%,1900.5,6.0,1.60%,30.49,2020-06-18 00:00:00
916,Novo Aripuanã,422.0,368.0,0.0,0.61%,1435.03,8.0,2.17%,31.2,2020-06-18 00:00:00
917,Amaturá,378.0,360.0,0.0,0.59%,3120.67,8.0,2.22%,69.35,2020-06-18 00:00:00
918,Atalaia do Norte,470.0,335.0,0.0,0.55%,1681.64,1.0,0.30%,5.02,2020-06-18 00:00:00
919,Nova Olinda do Norte,501.0,327.0,5.0,0.54%,874.85,18.0,5.50%,48.16,2020-06-18 00:00:00
920,Urucará,689.0,310.0,7.0,0.51%,1906.99,4.0,1.29%,24.61,2020-06-18 00:00:00
921,Urucurituba,787.0,304.0,0.0,0.50%,1318.01,2.0,0.66%,8.67,2020-06-18 00:00:00
922,Lábrea,389.0,297.0,3.0,0.49%,644.69,3.0,1.01%,6.51,2020-06-18 00:00:00
923,Eirunepé,710.0,263.0,0.0,0.43%,745.61,0.0,0.00%,0,2020-06-18 00:00:00
924,Anamã,430.0,250.0,0.0,0.41%,1836.34,0.0,0.00%,0,2020-06-18 00:00:00
925,Jutaí,474.0,228.0,7.0,0.38%,1592.51,13.0,5.70%,90.8,2020-06-18 00:00:00
926,Novo Airão,543.0,204.0,0.0,0.34%,1048.63,5.0,2.45%,25.7,2020-06-18 00:00:00
927,Guajará,202.0,200.0,0.0,0.33%,1199.18,1.0,0.50%,6,2020-06-18 00:00:00
928,Manaquiri,325.0,196.0,1.0,0.32%,610.5,9.0,4.59%,28.03,2020-06-18 00:00:00
929,Pauini,193.0,193.0,0.0,0.32%,993.51,1.0,0.52%,5.15,2020-06-18 00:00:00
930,Japurá,398.0,188.0,63.0,0.31%,6823.96,0.0,0.00%,0,2020-06-18 00:00:00
931,Maraã,503.0,188.0,23.0,0.31%,1031.61,2.0,1.06%,10.97,2020-06-18 00:00:00
932,Itamarati,466.0,184.0,0.0,0.30%,2343.65,1.0,0.54%,12.74,2020-06-18 00:00:00
933,São Sebastião do Uatumã,322.0,172.0,1.0,0.28%,1226.82,1.0,0.58%,7.13,2020-06-18 00:00:00
934,Juruá,492.0,154.0,0.0,0.25%,1046.76,0.0,0.00%,0,2020-06-18 00:00:00
935,Silves,315.0,146.0,3.0,0.24%,1591.97,4.0,2.74%,43.62,2020-06-18 00:00:00
936,Boa Vista do Ramos,318.0,144.0,3.0,0.24%,749.73,2.0,1.39%,10.41,2020-06-18 00:00:00
937,Caapiranga,295.0,135.0,0.0,0.22%,1032.03,4.0,2.96%,30.58,2020-06-18 00:00:00
938,Nhamundá,190.0,115.0,1.0,0.19%,543.14,4.0,3.48%,18.89,2020-06-18 00:00:00
939,Manicoré,774.0,113.0,32.0,0.19%,202.69,4.0,3.54%,7.17,2020-06-18 00:00:00
940,Codajás,174.0,109.0,1.0,0.18%,380.63,3.0,2.75%,10.48,2020-06-18 00:00:00
941,Santa Isabel do Rio Negro,154.0,85.0,0.0,0.14%,337.89,2.0,2.35%,7.95,2020-06-18 00:00:00
942,Careiro da Várzea,158.0,60.0,0.0,0.10%,198.51,4.0,6.67%,13.23,2020-06-18 00:00:00
943,Canutama,154.0,48.0,0.0,0.08%,307.12,0.0,0.00%,0,2020-06-18 00:00:00
944,Apuí,174.0,27.0,1.0,0.04%,122.88,0.0,0.00%,0,2020-06-18 00:00:00
945,Envira (2),11.0,0.0,0.0,0.00%,0,0.0,0.00%,0,2020-06-18 00:00:00
946,Ipixuna (2),18.0,0.0,0.0,0.00%,0,0.0,0.00%,0,2020-06-18 00:00:00
