,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
20,Tapauá,1.165,456.0,0.0,"0,96%","2.657,96",3.0,"0,66%","17,49",2020-06-05
21,Anori,690.0,416.0,0.0,"0,87%","1.980,01",5.0,"1,20%","23,80",2020-06-05
22,Itapiranga,377.0,377.0,1.0,"0,79%","4.121,12",5.0,"1,33%","54,66",2020-06-05
23,Beruri,380.0,374.0,1.0,"0,78%","1.900,50",5.0,"1,34%","25,41",2020-06-05
24,Alvarães,613.0,368.0,0.0,"0,77%","2.294,12",10.0,"2,72%","62,34",2020-06-05
25,Barreirinha,595.0,360.0,0.0,"0,76%","1.123,56",4.0,"1,11%","12,48",2020-06-05
26,Amaturá,330.0,329.0,0.0,"0,69%","2.851,94",8.0,"2,43%","69,35",2020-06-05
27,Borba,750.0,300.0,3.0,"0,63%","728,85",14.0,"4,67%","34,01",2020-06-05
28,Fonte Boa,370.0,293.0,31.0,"0,61%","1.663,92",10.0,"3,41%","56,79",2020-06-05
29,Tonantins,590.0,292.0,1.0,"0,61%","1.556,92",12.0,"4,11%","63,98",2020-06-05
30,Carauari,983.0,284.0,0.0,"0,60%","1.003,75",2.0,"0,70%","7,07",2020-06-05
31,Urucará,528.0,243.0,3.0,"0,51%","1.494,83",3.0,"1,23%","18,45",2020-06-05
32,Uarini,238.0,235.0,0.0,"0,49%","1.735,60",1.0,"0,43%","7,39",2020-06-05
33,Novo Aripuanã,271.0,212.0,0.0,"0,44%","826,70",7.0,"3,30%","27,30",2020-06-05
34,Anamã,318.0,204.0,0.0,"0,43%","1.498,46",0.0,"0,00%","0,00",2020-06-05
35,Urucurituba,574.0,186.0,0.0,"0,39%","806,42",2.0,"1,08%","8,67",2020-06-05
36,Eirunepé,500.0,179.0,0.0,"0,38%","507,47",0.0,"0,00%","0,00",2020-06-05
37,Novo Airão,429.0,172.0,0.0,"0,36%","884,14",5.0,"2,91%","25,70",2020-06-05
38,Jutaí,344.0,147.0,7.0,"0,31%","1.026,75",11.0,"7,48%","76,83",2020-06-05
39,Humaitá,540.0,143.0,0.0,"0,30%","259,62",2.0,"1,40%","3,63",2020-06-05
40,Manaquiri,275.0,141.0,1.0,"0,30%","439,18",6.0,"4,26%","18,69",2020-06-05
41,Silves,275.0,137.0,2.0,"0,29%","1.493,84",4.0,"2,92%","43,62",2020-06-05
42,Nova Olinda do Norte,167.0,127.0,4.0,"0,27%","339,77",11.0,"8,66%","29,43",2020-06-05
43,Japurá,278.0,126.0,47.0,"0,26%","4.573,50",0.0,"0,00%","0,00",2020-06-05
44,São Sebastião do Uatumã,216.0,124.0,0.0,"0,26%","884,45",1.0,"0,81%","7,13",2020-06-05
45,Atalaia do Norte,121.0,119.0,0.0,"0,25%","597,36",1.0,"0,84%","5,02",2020-06-05
46,Maraã,334.0,111.0,23.0,"0,23%","609,09",1.0,"0,90%","5,49",2020-06-05
47,Caapiranga,213.0,107.0,0.0,"0,22%","817,98",2.0,"1,87%","15,29",2020-06-05
48,Boa Vista do Ramos,179.0,83.0,3.0,"0,17%","432,13",2.0,"2,41%","10,41",2020-06-05
49,Lábrea,179.0,77.0,2.0,"0,16%","167,14",0.0,"0,00%","0,00",2020-06-05
50,Codajás,113.0,68.0,0.0,"0,14%","237,46",2.0,"2,94%","6,98",2020-06-05
51,Manicoré,521.0,65.0,17.0,"0,14%","116,59",2.0,"3,08%","3,59",2020-06-05
52,Nhamundá,135.0,61.0,1.0,"0,13%","288,10",2.0,"3,28%","9,45",2020-06-05
53,Pauini,70.0,60.0,0.0,"0,13%","308,86",0.0,"0,00%","0,00",2020-06-05
54,Guajará,90.0,54.0,0.0,"0,11%","323,78",1.0,"1,85%","6,00",2020-06-05
55,Careiro da Várzea,137.0,53.0,0.0,"0,11%","175,35",1.0,"1,89%","3,31",2020-06-05
56,Juruá,325.0,44.0,0.0,"0,09%","299,08",0.0,"0,00%","0,00",2020-06-05
57,Santa Isabel do Rio Negro,107.0,43.0,0.0,"0,09%","170,93",1.0,"2,33%","3,98",2020-06-05
58,Canutama,109.0,36.0,0.0,"0,08%","230,34",0.0,"0,00%","0,00",2020-06-05
59,Apuí,144.0,27.0,0.0,"0,06%","122,88",0.0,"0,00%","0,00",2020-06-05
60,Itamarati,35.0,4.0,0.0,"0,01%","50,95",0.0,"0,00%","0,00",2020-06-05
61,Envira***,11.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-05
62,Ipixuna***,18.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-05
